title,location,minimum_qual,preferred_qual,responsibilities,education&experience
Software Technician,"Santa Clara Valley (Cupertino), California, United States","2-5 years experience supporting or deploying application software for internal and external customers.
Experience configuring or maintaining commercial enterprise application software packages (for example: inventory systems, manufacturing systems, PDM, ERP, LIMS, etc…)
Experience providing first level software support to end users and issue triage
Proven problem solving and debugging skills
Comfortable with modern IT tech-stack concepts
Ability to navigate in a Linux/Unix environment
Able to train small and large groups
Able to write and execute basic database queries
You will be self directed, analytical, and work well in a team environment
Be a strong advocate for improving processes and a clear communicator of new ideas
Strong verbal interpersonal skills
Highly organized, ability to juggle multiple priorities at a time
Ability to quickly learn new software applications",,"As a software techician, you will assist with deployments and provide ongoing assistance to our internal Apple Battery Engineering customers.","AS/BS in Information Technology, or equivalent"
Software Engineer,"Santa Clara Valley (Cupertino), California, United States","KEY QUALIFICATIONS
A genuine passion for fixing software and hardware issues.
Strong knowledge of processor architecture (CPU/Bus/subsystems/peripherals/clocks/power states).
Strong understanding of Intel processors, EFI, PCI, OS X/Unix.
Extensive knowledge of hardware platform (Power, DDR, storage, Battery, PCB, SMD).
Previous Experience with Kernal and OS Drivers
Understanding of on-chip debug and trace facilities. Exposure to hardware logic analyzers, oscilloscopes.
Solid C programming skills.
Understanding ARM/x86 assembly languages for debugging.
Previous experience with platform bring-up.
Demonstrated creative and critical thinking capabilities.
Excellent collaborative skills including written and verbal communication.","ADDITIONAL REQUIREMENTS
Real hands-on experience with debugging major OEM’s technical issues
Solid understanding of clock/voltage control and how it relates to stability.
Ability to understand board schematics is a plus
A working knowledge of Python and Perl is a plus.","DESCRIPTION
Work with multi-functional teams to diagnose and debug issues.

Investigate and analyze issues spanning hardware and software interaction layers.

Develop internal test plans to detect critical issues at early stage.

Come up with ideas to reproduce problems that are hard to reproduce. 

Devise methods to improve debugging processes.","EDUCATION
BS or MS in Computer Engineering or Computer Science or equivalent experience/skills"
Software Engineer,"Santa Clara Valley (Cupertino), California, United States","- 3+ years experience working on large scale distributed systems.
- Excellent knowledge of Java, the JVM and the ecosystem.
- Fluent in at least one scripting language in addition to Bash (Ruby/Python/Go etc...).
- Solid understanding of concurrency control, data structures, algorithms, and distributed, scalable system architectures.
- Experience building networked applications.
- Familiarity with distributed systems, such as Cassandra, ZooKeeper and Kafka.
- Proficiency with source control, continuous integration and testing methods.
- Solving problems for large distributed systems at various layers of the stack, from networking, system calls to application layer debugging.",,"This position will design, implement and debug core components of Apple's platform for Internet Services servicing hundreds of millions of users around the world every day. You will be expected to meet tight project deadlines, excel under pressure, work well with others, be self-motivated, and be able to manage short and long term projects. Researching and experimenting with key technologies, architectures, and standards are part of the job, as well as working in collaboration with other engineering teams to ensure that services meet scalability, availability, security, and performance goals.","BS, MS or PhD, in Computer Science, or equivalent experience"
Software Engineer,"Santa Clara Valley (Cupertino), California, United States","- 3+ years experience working on large scale distributed systems.
- Excellent knowledge of Java, the JVM and the ecosystem.
- Fluent in at least one scripting language in addition to Bash (Ruby/Python/Go etc...).
- Solid understanding of concurrency control, data structures, algorithms, and distributed, scalable system architectures.
- Experience building networked applications.
- Familiarity with distributed systems, such as Cassandra, ZooKeeper and Kafka.
- Proficiency with source control, continuous integration and testing methods.
- Solving problems for large distributed systems at various layers of the stack, from networking, system calls to application layer debugging.",,"This position will design, implement and debug core components of Apple's platform for Internet Services servicing hundreds of millions of users around the world every day. You will be expected to meet tight project deadlines, excel under pressure, work well with others, be self-motivated, and be able to manage short and long term projects. Researching and experimenting with key technologies, architectures, and standards are part of the job, as well as working in collaboration with other engineering teams to ensure that services meet scalability, availability, security, and performance goals.","BS, MS or PhD, in Computer Science, or equivalent experience"
Software Engineer,"Santa Clara Valley (Cupertino), California, United States","Demonstrated experience integrating full-system autonomy stacks including developing interfaces to enable sub-system verification before field testing
Technical proficiency in multiple of: Perception, Machine Learning, Sensor Systhigh ems, Controls, Statistical Inference, High Performance Computing
STRONG FOUNDATION IN SYSTEMS ENGINEERING FUNDAMENTALS
Experience with complex problems and systems where performance and scalability are extremely important Strong communication, both written and verbal, with technical and non-technical multi-functional teams Technical background in 3D geometry, linear algebra, kinematics and dynamics",,"Extraordinary planning, critical thinking, and problem solving skills as both a team member and team lead","M.S. or PhD in Computer Science, Electrical Engineering, Mechanical Engineering, or another related field, with a specialization in robotics algorithms and 5+ years of relevant professional experience"
Software Engineer,"Santa Clara Valley (Cupertino), California, United States","A successful track-record and proven experience as a backend internet services software developer.
Proven aptitude for building, launching and operating very large-scale production internet services.",,"We are building, and supporting new, critical infrastructural systems and frameworks which provide and support services like structured and unstructured storage, caching, queueing, searching, and much more. These form the platform upon which many iCloud and other backend systems at Apple are built.

The team is responsible for the next generation platform that will power Apple’s infrastructural services. These services have huge scale and store hundreds of petabytes of data. The platform will support a variety of services based on open-source software, such as Apache Cassandra, SOLR, Zookeeper, Kafka, Redis, etc.

We are looking for a strong, enthusiastic developer to join as a member of this group. This person will have a tremendous amount of individual responsibility and influence over the direction the backend of many critical Apple internet services take for years to come. You are someone with ideas and real passion for software delivered as a service to improve reuse, efficiency, and simplicity. This engineer’s work will affect hundreds of millions of users and be essential to the success of some of the most visible current and future Apple features.",BS or MS in Computer Science or equivalent work experience.
Software Engineer,"Austin, Texas, United States","Passion to create amazing products which users will love
Excellent collaboration and communication skills
Experience implementing GUI applications on iOS or macOS using Objective-C or Swift
Experience implementing client to server network communications
Experience developing and shipping consumer-oriented GUI applications
Familiarity with Apple application UI guidelines
Good sense of UI design
Are you deeply accountable for your work? Your passion for product ownership and track record of product development will prove critical to your success on our team.
You will prioritize tasks with rapid development cycles, remain flexible and calm in the face of uncertainty, and drive vendors to deliver excellent results for time-critical issues.
Be ready to make something great when you come here. Dynamic, inspiring people and innovative, industry-defining technologies are the norm at Apple. The people who work here have reinvented and defined entire industries with our products and services. The same passion for innovation also applies to our business practices - strengthening our commitment to leave the world better than we found it. You should join the Retail Apps Team if you want to help deliver the next amazing app that helps our employees help our customers.
You have excellent judgment and integrity with the ability to make timely and sound decisions
Excellent writing and interpersonal skills
Ability to stay focused and prioritize a heavy workload while achieving exceptional quality
You are upbeat, adaptable, and results oriented with a positive attitude
You bring passion and dedication to your job and are committed to our vision and supporting the developer community",,"JOB SUMMARY
Imagine what you could do here to help create a better experience for Apple Retail employees in every store. Our group is passionate about developing elegant and thoughtful solutions that make customer and employee experiences surprise and delight in Apple Retail stores around the world. The Retail Apps team is looking for a committed, highly competent engineer to help build the next generation of tools that enrich and empower our store teams worldwide. 


KEY QUALIFICATIONS
Passion to create amazing products which users will love

Excellent collaboration and communication skills

Experience implementing GUI applications on iOS or macOS using Objective-C or Swift

Experience implementing client to server network communications

Experience developing and shipping consumer-oriented GUI applications

Familiarity with Apple application UI guidelines

Good sense of UI design

Are you deeply accountable for your work? Your passion for product ownership and track record of product development will prove critical to your success on our team.

You will prioritize tasks with rapid development cycles, remain flexible and calm in the face of uncertainty, and drive vendors to deliver excellent results for time-critical issues.

Be ready to make something great when you come here. Dynamic, inspiring people and innovative, industry-defining technologies are the norm at Apple. The people who work here have reinvented and defined entire industries with our products and services. The same passion for innovation also applies to our business practices - strengthening our commitment to leave the world better than we found it. You should join the Retail Apps Team if you want to help deliver the next amazing app that helps our employees help our customers.

You have excellent judgment and integrity with the ability to make timely and sound decisions

Excellent writing and interpersonal skills

Ability to stay focused and prioritize a heavy workload while achieving exceptional quality

You are upbeat, adaptable, and results oriented with a positive attitude

You bring passion and dedication to your job and are committed to our vision and supporting the developer community


DESCRIPTION
The ideal candidate possesses the technical knowledge and collaboration and communication skills necessary for success as a dependable member of our team. A passion for elegant design, innovative technologies, and advancing one's skill set are also important success factors. In this role you will work on a variety of technologies including UIKit, AppKit, Swift, Swift on Server, networking protocols, and inter-process communication. You will be working in an engineering team responsible for key Apple software products in use in our Apple Retail stores every day by thousands of employees. The opportunities within our group continue to grow and now is a wonderful time to become a part of it. Take advantage of this opportunity to contribute your own enthusiasm and expertise while learning from a community of dedicated engineers who work together to make great products our users love while building a stronger team.",A BS/MS/PhD in Electrical or Computer Engineering or equivalent experience is required.
Software Engineer,"Hyderabad, Telangana, India","In-depth understanding of data structures and algorithms
Experience in UI design, development for both Web bases and Mobile platforms
Experience in service layer component with Java and newer JVM-based languages such as Scala or Clojure
Proficient understanding of web markup, including HTML5, CSS3
Strong proficiency in JavaScript, including DOM manipulation and the JavaScript object model with understanding of React.js and its core principles or any other libraries
Familiarity with newer specifications of EcmaScript, Familiarity with RESTful APIs
Experience with data structure libraries (e.g., Immutable.js)
Experience with common front-end development and build tools such as Babel, Webpack, NPM, etc.
Basic knowledge of image authoring tools, to be able to crop, resize, or perform small adjustments on an image. Familiarity with tools such as Gimp or Photoshop is a plus.
Have working experience with any of the streaming solutions like Storm, Spark, Flink, Flume or similar
Working knowledge of message queues like Kafka or Rabbit
Hands on experience with Concurrent Programming
Good experience in mobile application development preferably using iOS Swift
Experience with the latest open source technologies Spring, Apache commons
Basic understanding of working with databases like Oracle, Teradata, Vertica
Strong problem-solving and analytical abilities
Ability to rapidly learn new technologies
Strong written and oral communication skills",,"Design and build data pipelines on MPP platform using Kafka, Spark and other new technologies
Design and Development new generation web and mobile solutions for Data Analytics
Responsible for end to end development - data pipeline to data consumption
Work with global teams on developing mobile based solutions using iOS Swift
Translate complex business requirements to user-friendly UI dashboards
Develop products and self-service tools to enable business to perform reporting and analytics
Mentor and coach new members of the team and help building a strong and cohesive engineering team",Bachelor’s Degree or Equivalent with 2+ years of experience in application development
Software Engineer,"Austin, Texas, United States","Passion to create amazing products which users will love
Excellent collaboration and communication skills
Experience implementing GUI applications on iOS or macOS using Objective-C or Swift
Experience implementing client to server network communications
Experience developing and shipping consumer-oriented GUI applications
Familiarity with Apple application UI guidelines
Good sense of UI design
Are you deeply accountable for your work? Your passion for product ownership and track record of product development will prove critical to your success on our team.
You will prioritize tasks with rapid development cycles, remain flexible and calm in the face of uncertainty, and drive vendors to deliver excellent results for time-critical issues.
Be ready to make something great when you come here. Dynamic, inspiring people and innovative, industry-defining technologies are the norm at Apple. The people who work here have reinvented and defined entire industries with our products and services. The same passion for innovation also applies to our business practices - strengthening our commitment to leave the world better than we found it. You should join the Retail Apps Team if you want to help deliver the next amazing app that helps our employees help our customers.
You have excellent judgment and integrity with the ability to make timely and sound decisions
Excellent writing and interpersonal skills
Ability to stay focused and prioritize a heavy workload while achieving exceptional quality
You are upbeat, adaptable, and results oriented with a positive attitude
You bring passion and dedication to your job and are committed to our vision and supporting the developer community",,"JOB SUMMARY
Imagine what you could do here to help create a better experience for Apple Retail employees in every store. Our group is passionate about developing elegant and thoughtful solutions that make customer and employee experiences surprise and delight in Apple Retail stores around the world. The Retail Apps team is looking for a committed, highly competent engineer to help build the next generation of tools that enrich and empower our store teams worldwide. 


KEY QUALIFICATIONS
Passion to create amazing products which users will love

Excellent collaboration and communication skills

Experience implementing GUI applications on iOS or macOS using Objective-C or Swift

Experience implementing client to server network communications

Experience developing and shipping consumer-oriented GUI applications

Familiarity with Apple application UI guidelines

Good sense of UI design

Are you deeply accountable for your work? Your passion for product ownership and track record of product development will prove critical to your success on our team.

You will prioritize tasks with rapid development cycles, remain flexible and calm in the face of uncertainty, and drive vendors to deliver excellent results for time-critical issues.

Be ready to make something great when you come here. Dynamic, inspiring people and innovative, industry-defining technologies are the norm at Apple. The people who work here have reinvented and defined entire industries with our products and services. The same passion for innovation also applies to our business practices - strengthening our commitment to leave the world better than we found it. You should join the Retail Apps Team if you want to help deliver the next amazing app that helps our employees help our customers.

You have excellent judgment and integrity with the ability to make timely and sound decisions

Excellent writing and interpersonal skills

Ability to stay focused and prioritize a heavy workload while achieving exceptional quality

You are upbeat, adaptable, and results oriented with a positive attitude

You bring passion and dedication to your job and are committed to our vision and supporting the developer community


DESCRIPTION
The ideal candidate possesses the technical knowledge and collaboration and communication skills necessary for success as a dependable member of our team. A passion for elegant design, innovative technologies, and advancing one's skill set are also important success factors. In this role you will work on a variety of technologies including UIKit, AppKit, Swift, Swift on Server, networking protocols, and inter-process communication. You will be working in an engineering team responsible for key Apple software products in use in our Apple Retail stores every day by thousands of employees. The opportunities within our group continue to grow and now is a wonderful time to become a part of it. Take advantage of this opportunity to contribute your own enthusiasm and expertise while learning from a community of dedicated engineers who work together to make great products our users love while building a stronger team.",A BS/MS/PhD in Electrical or Computer Engineering or equivalent experience is required.
Software Engineer,"Santa Clara Valley (Cupertino), California, United States","2-7 years experience developing system software such as drivers or frameworks
Strong C and objected-oriented programming skills
Excellent debugging and problem solving skills
Ability to quickly familiarize yourself with code you’ve never seen before, and understand the pertinent functionality
Strong verbal and written communications skills
Must be self directed, analytical, and work well in a team environment
Must be comfortable working at both higher and lower levels of the software stack","Experience designing SW interfaces or APIs is a plus
Experience implementing customer-facing features is a plus
Familiarity with IOKit, Objective-C, and other iOS/OS X technoligies is a plus
Ability to develop graphical tools to assist with development and testing is a plus","HID Software is looking for an engineer to work on drivers, frameworks, and tools for OS X and iOS. In this role, you will maintain existing software, and develop new software for future products and sensing technologies. The ideal candidate has experience dealing with human factors, enjoys supporting technology investigations, and is comfortable jumping between multiple layers of the software stack.",BS/MS in CS/CE (or equivalent)
